web-scraper-order,web-scraper-start-url,Flag,Country,IOC,FIFA,ISO
"1571845386-97","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Guinea-Bissau","GBS","GNB","GNB"
"1571845386-72","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Eritrea","ERI","ERI","ERI"
"1571845386-181","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Portugal","POR","POR","PRT"
"1571845386-8","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Angola","ANG","ANG","AGO"
"1571845386-127","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Lesotho","LES","LES","LSO"
"1571845386-109","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Ireland[10]","IRL","IRL","IRL"
"1571845386-46","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Chad","CHA","CHA","TCD"
"1571845386-116","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Jordan","JOR","JOR","JOR"
"1571845386-101","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Honduras","HON","HON","HND"
"1571845386-144","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Mauritius","MRI","MRI","MUS"
"1571845386-15","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Australia","AUS","AUS","AUS"
"1571845386-242","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Uruguay","URU","URU","URY"
"1571845386-190","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Saint Kitts and Nevis","SKN","SKN","KNA"
"1571845386-40","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Cambodia","CAM","CAM","KHM"
"1571845386-77","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Fiji","FIJ","FIJ","FJI"
"1571845386-115","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Jersey","","","JEY"
"1571845386-184","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Réunion","","","REU"
"1571845386-240","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","United States Minor Outlying Islands","","","UMI"
"1571845386-166","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Norfolk Island","","","NFK"
"1571845386-35","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","British Virgin Islands[2]","IVB","VGB","VGB"
"1571845386-249","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Wallis and Futuna","","","WLF"
"1571845386-113","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Jamaica","JAM","JAM","JAM"
"1571845386-5","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Algeria","ALG","ALG","DZA"
"1571845386-26","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Bermuda","BER","BER","BMU"
"1571845386-202","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Seychelles","SEY","SEY","SYC"
"1571845386-150","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Mongolia","MGL","MNG","MNG"
"1571845386-201","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Serbia","SRB","SRB","SRB"
"1571845386-126","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Lebanon","LIB","LIB","LBN"
"1571845386-38","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Burkina Faso","BUR","BFA","BFA"
"1571845386-189","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Saint Helena","","","SHN"
